date,market_daily__close_spy,market_daily__close_gspc,market_daily__vix,market_daily__rate_10y,market_extended_spx__close_spy,market_extended_spx__close_gspc,market_extended_spx__vix,market_extended_spx__rate_10y,market_extended_spx__hvol_10d,market_extended_spx__hvol_14d,market_extended_spx__hvol_30d,market_extended_spx__hvol_60d,market_extended_spx__hvol_91d,market_extended_spx__hvol_122d,market_extended_spx__hvol_152d,market_extended_spx__hvol_182d,market_extended_spx__hvol_273d,market_extended_spx__hvol_365d,market_extended_spx__hvol_547d,market_extended_spx__hvol_730d,market_extended_spx__hvol_1825d,market_extended_spx__fwd_front,market_extended_spy__close_spy,market_extended_spy__close_gspc,market_extended_spy__vix,market_extended_spy__rate_10y,market_extended_spy__hvol_10d,market_extended_spy__hvol_14d,market_extended_spy__hvol_30d,market_extended_spy__hvol_60d,market_extended_spy__hvol_91d,market_extended_spy__hvol_122d,market_extended_spy__hvol_152d,market_extended_spy__hvol_182d,market_extended_spy__hvol_273d,market_extended_spy__hvol_365d,market_extended_spy__hvol_547d,market_extended_spy__hvol_730d,market_extended_spy__hvol_1825d,market_extended_spy__fwd_front,options_snapshot_spx__Unnamed: 0,options_snapshot_spx__underlying,options_snapshot_spx__put_call,options_snapshot_spx__expiry,options_snapshot_spx__strike,options_snapshot_spx__mid,options_snapshot_spx__last,options_snapshot_spx__iv,options_snapshot_spx__delta,options_snapshot_spx__gamma,options_snapshot_spx__vega,options_snapshot_spx__theta,options_snapshot_spx__open_interest,options_snapshot_spx__volume,options_snapshot_spy__Unnamed: 0,options_snapshot_spy__underlying,options_snapshot_spy__put_call,options_snapshot_spy__expiry,options_snapshot_spy__strike,options_snapshot_spy__mid,options_snapshot_spy__last,options_snapshot_spy__iv,options_snapshot_spy__delta,options_snapshot_spy__gamma,options_snapshot_spy__vega,options_snapshot_spy__theta,options_snapshot_spy__open_interest,options_snapshot_spy__volume,vol_surface_spx__Unnamed: 0,vol_surface_spx__underlying,vol_surface_spx__tenor_d,vol_surface_spx__moneyness,vol_surface_spx__iv,vol_surface_spy__Unnamed: 0,vol_surface_spy__underlying,vol_surface_spy__tenor_d,vol_surface_spy__moneyness,vol_surface_spy__iv
2005-01-10,80.962646484375,1190.25,13.23,4.29,80.962646484375,1190.25,13.23,4.29,0.097656,0.088718,0.086742,0.092841,0.101801,0.102691,0.102661,0.106516,0.108103,0.110872,0.114443,0.140609,0.201212,1191.104734,80.962646484375,1190.25,13.23,4.29,0.110306,0.092575,0.083385,0.084841,0.097714,0.10048,0.099316,0.105734,0.110247,0.111598,0.11314,0.138281,0.20419,119.06446,49942,SPX,C,2005-02-09,1191.425952,16.153077,16.153077,0.118795,0.50623,0.009829,135.96171,-105.081739,1304136,53797,2,SPY,C,2005-02-09,119.20378,1.622029,1.622029,0.119222,0.506618,0.097998,13.604388,-11.076229,0.0,131377.0,771800,SPX,30,-90,0.114651,0,SPY,30,-90,0.171916
2005-01-11,80.40473937988281,1182.989990234375,13.19,4.26,80.40473937988281,1182.989990234375,13.19,4.26,0.091081,0.078078,0.087242,0.091446,0.102577,0.102747,0.101335,0.106925,0.107118,0.110959,0.114488,0.140547,0.201154,1183.762221,80.40473937988281,1182.989990234375,13.19,4.26,0.103972,0.08812,0.084827,0.084588,0.098504,0.100749,0.098323,0.10626,0.109295,0.111604,0.113247,0.138244,0.204123,118.265196,49964,SPX,C,2005-02-10,1183.869383,15.878921,15.878921,0.117525,0.506028,0.009994,135.098202,-101.591897,1298159,50939,24,SPY,C,2005-02-10,118.429757,1.617772,1.617772,0.119689,0.506842,0.098332,13.515881,-11.333966,116214.0,72655.0,772140,SPX,30,-90,0.116374,340,SPY,30,-90,0.101821
2005-01-12,80.67008209228516,1187.699951171875,12.56,4.25,80.67008209228516,1187.699951171875,12.56,4.25,0.094059,0.084084,0.082224,0.090838,0.101402,0.102304,0.101436,0.106904,0.107192,0.110884,0.11448,0.140562,0.201105,1188.397438,80.67008209228516,1187.699951171875,12.56,4.25,0.10296,0.090843,0.079588,0.083908,0.0966,0.100256,0.098375,0.106209,0.10934,0.111478,0.113249,0.138256,0.204037,118.647681,49986,SPX,C,2005-02-11,1187.609108,15.210617,15.210617,0.112225,0.505305,0.010416,135.525174,-91.57204,1320584,65705,46,SPY,C,2005-02-11,118.821883,1.5642,1.5642,0.115345,0.506594,0.101701,13.560617,-11.021838,178459.0,53082.0,772480,SPX,30,-90,0.122183,680,SPY,30,-90,0.104727
2005-01-13,80.02376556396484,1177.449951171875,12.84,4.2,80.02376556396484,1177.449951171875,12.84,4.2,0.095206,0.088927,0.085326,0.092242,0.101129,0.103518,0.102056,0.107473,0.107688,0.110945,0.114584,0.14066,0.201061,1178.060833,80.02376556396484,1177.449951171875,12.84,4.2,0.107252,0.095169,0.082306,0.08527,0.096578,0.101259,0.098909,0.10644,0.109664,0.111494,0.113344,0.138377,0.203987,117.688747,50008,SPX,C,2005-02-12,1177.808735,15.575174,15.575174,0.115864,0.505738,0.010181,134.414222,-96.557533,1323751,54272,68,SPY,C,2005-02-12,117.86235,1.589428,1.589428,0.118152,0.506754,0.100086,13.451888,-11.117515,206213.0,47411.0,772820,SPX,30,-90,0.116936,1020,SPY,30,-90,0.103786
2005-01-14,80.44559478759766,1184.52001953125,12.43,4.23,80.44559478759766,1184.52001953125,12.43,4.23,0.085332,0.099751,0.088207,0.09345,0.101387,0.103901,0.101867,0.107485,0.107746,0.111092,0.114187,0.140312,0.201,1185.057872,80.44559478759766,1184.52001953125,12.43,4.23,0.092155,0.103767,0.08498,0.08605,0.096518,0.101548,0.09866,0.106626,0.109481,0.111586,0.112758,0.138215,0.20392,118.287959,50030,SPX,C,2005-02-13,1184.086394,14.8524,14.8524,0.109901,0.505059,0.010662,135.132512,-87.307618,1345256,53187,90,SPY,C,2005-02-13,118.45449,1.50769,1.50769,0.111514,0.50625,0.105462,13.519686,-10.449847,238711.0,80492.0,773160,SPX,30,-90,0.127426,1360,SPY,30,-90,0.105607
2005-01-18,81.2824478149414,1195.97998046875,12.47,4.21,81.2824478149414,1195.97998046875,12.47,4.21,0.113878,0.095768,0.093879,0.092589,0.10091,0.105176,0.100499,0.108279,0.106978,0.111294,0.11353,0.14018,0.201161,1196.212567,81.2824478149414,1195.97998046875,12.47,4.21,0.116192,0.103619,0.092839,0.08486,0.096952,0.102873,0.098592,0.106361,0.108546,0.111983,0.112413,0.13805,0.20405,119.500981,50052,SPX,C,2005-02-17,1195.968868,13.684508,13.684508,0.100254,0.504681,0.01158,136.489419,-82.828311,1360993,92931,112,SPY,C,2005-02-17,119.680298,1.510835,1.510835,0.110604,0.506163,0.105229,13.659419,-10.44261,287213.0,50441.0,773500,SPX,30,-90,0.162852,1700,SPY,30,-90,0.171599
2005-01-19,80.4319839477539,1184.6300048828125,13.18,4.2,80.4319839477539,1184.6300048828125,13.18,4.2,0.122834,0.108501,0.099859,0.094839,0.103238,0.10602,0.101401,0.107398,0.107432,0.111713,0.113591,0.140222,0.201201,1184.783424,80.4319839477539,1184.6300048828125,13.18,4.2,0.128067,0.114805,0.100061,0.088264,0.099652,0.104079,0.09972,0.103994,0.109037,0.112499,0.112566,0.138138,0.204102,118.242968,50074,SPX,C,2005-02-18,1183.879076,13.716651,13.716651,0.101516,0.504436,0.011539,135.108829,-78.480361,1378924,84720,134,SPY,C,2005-02-18,118.465467,1.579161,1.579161,0.116793,0.506675,0.100737,13.520516,-11.073996,306616.0,32910.0,773840,SPX,30,-90,0.190359,2040,SPY,30,-90,0.104773
2005-01-20,79.9421157836914,1175.4100341796875,13.83,4.17,79.9421157836914,1175.4100341796875,13.83,4.17,0.127389,0.113672,0.096602,0.095784,0.104756,0.106467,0.101776,0.108018,0.106644,0.111735,0.113793,0.139868,0.20115,1175.486225,79.9421157836914,1175.4100341796875,13.83,4.17,0.126843,0.115097,0.096997,0.088585,0.10013,0.104095,0.099809,0.104396,0.108136,0.112413,0.112697,0.137738,0.204038,117.515233,50096,SPX,C,2005-02-19,1176.157246,15.361118,15.361118,0.114436,0.505806,0.010329,134.221378,-97.643875,1402981,145412,156,SPY,C,2005-02-19,117.74594,1.642816,1.642816,0.122246,0.506986,0.096831,13.437986,-11.462795,326443.0,60526.0,774180,SPX,30,-90,0.158563,2380,SPY,30,-90,0.107464
2005-01-21,79.45227813720703,1167.8699951171875,14.36,4.16,79.45227813720703,1167.8699951171875,14.36,4.16,0.127855,0.117063,0.096607,0.095973,0.103555,0.106658,0.101877,0.107481,0.106916,0.111877,0.113764,0.139737,0.20109,1170.157007,79.45227813720703,1167.8699951171875,14.36,4.16,0.125623,0.118257,0.097512,0.089121,0.09803,0.10453,0.099892,0.10405,0.108384,0.112556,0.112634,0.137524,0.203975,116.787588,50118,SPX,C,2005-02-20,1168.527684,15.499924,15.499924,0.116225,0.505865,0.010235,133.348614,-97.932121,1096594,80447,178,SPY,C,2005-02-20,117.010755,1.656989,1.656989,0.124076,0.507026,0.095978,13.353869,-11.454901,357331.0,108683.0,774520,SPX,30,-90,0.164234,2720,SPY,30,-90,0.112845
2005-01-24,79.2957992553711,1163.75,14.65,4.14,79.2957992553711,1163.75,14.65,4.14,0.121933,0.11315,0.096433,0.096909,0.103897,0.104737,0.102296,0.107579,0.106868,0.111915,0.112974,0.138088,0.20084,1165.784571,79.2957992553711,1163.75,14.65,4.14,0.126813,0.1122,0.097106,0.090023,0.098118,0.102593,0.100348,0.104052,0.108398,0.112526,0.111788,0.136256,0.20364,116.738197,50140,SPX,C,2005-02-23,1165.943148,17.000443,17.000443,0.127763,0.507185,0.009355,133.047745,-116.489653,1149030,56148,200,SPY,C,2005-02-23,116.773529,1.699499,1.699499,0.12752,0.507185,0.093562,13.326464,-11.667754,355817.0,55674.0,774860,SPX,30,-90,0.115557,3060,SPY,30,-90,0.146062
2005-01-25,79.52027130126953,1168.4100341796875,14.06,4.2,79.52027130126953,1168.4100341796875,14.06,4.2,0.119492,0.115598,0.096225,0.097495,0.100202,0.104273,0.102438,0.106872,0.106934,0.11134,0.112993,0.137971,0.200841,1170.373015,79.52027130126953,1168.4100341796875,14.06,4.2,0.119302,0.11145,0.095982,0.090346,0.093854,0.102044,0.100405,0.103361,0.108438,0.111873,0.111752,0.136129,0.203637,117.085048,50162,SPX,C,2005-02-24,1169.64898,15.292902,15.292902,0.114566,0.50601,0.010383,133.473997,-100.250815,1186123,45893,222,SPY,C,2005-02-24,117.12909,1.598529,1.598529,0.119581,0.506836,0.099516,13.367206,-11.212999,388348.0,170949.0,775200,SPX,30,-90,0.155088,3400,SPY,30,-90,0.217558
2005-01-26,79.7584228515625,1174.0699462890625,13.44,4.21,79.7584228515625,1174.0699462890625,13.44,4.21,0.117136,0.116932,0.098253,0.097106,0.097517,0.103905,0.102616,0.107046,0.105814,0.110998,0.112873,0.137483,0.200469,1175.966597,79.7584228515625,1174.0699462890625,13.44,4.21,0.112834,0.111071,0.097235,0.089558,0.091192,0.101514,0.100396,0.10336,0.107384,0.111418,0.111692,0.135755,0.203147,117.428103,50184,SPX,C,2005-02-25,1173.471138,13.473291,13.473291,0.100606,0.504414,0.011749,133.912656,-77.930004,1203151,33766,244,SPY,C,2005-02-25,117.481278,1.533795,1.533795,0.114396,0.50654,0.103718,13.407389,-10.833496,520820.0,46677.0,775540,SPX,30,-90,0.195917,3740,SPY,30,-90,0.102285
2005-01-27,79.89448547363281,1174.550048828125,13.24,4.22,79.89448547363281,1174.550048828125,13.24,4.22,0.108854,0.10843,0.093698,0.095926,0.097491,0.103266,0.102121,0.106893,0.105418,0.110129,0.112857,0.137206,0.200389,1176.39357,79.89448547363281,1174.550048828125,13.24,4.22,0.105751,0.104081,0.094774,0.088571,0.091095,0.100776,0.099926,0.10324,0.106872,0.110812,0.11167,0.135675,0.203067,117.589899,50206,SPX,C,2005-02-26,1175.055447,13.663646,13.663646,0.101893,0.504945,0.011606,134.088562,-85.857284,1215779,59343,266,SPY,C,2005-02-26,117.651813,1.489793,1.489793,0.110956,0.506197,0.106721,13.426523,-10.384276,538714.0,45866.0,775880,SPX,30,-90,0.166755,4080,SPY,30,-90,0.202144
2005-01-28,79.89448547363281,1171.3599853515625,13.24,4.16,79.89448547363281,1171.3599853515625,13.24,4.16,0.084573,0.102203,0.093619,0.095787,0.097656,0.103037,0.101759,0.106987,0.105229,0.11006,0.11287,0.137157,0.200312,1173.126611,79.89448547363281,1171.3599853515625,13.24,4.16,0.078775,0.099025,0.094325,0.087874,0.091089,0.100543,0.099454,0.103209,0.106451,0.110809,0.111662,0.135589,0.202986,117.615915,50228,SPX,C,2005-02-27,1173.723064,15.531299,15.531299,0.115955,0.506542,0.010242,133.930099,-108.608066,1256138,80567,288,SPY,C,2005-02-27,117.68762,1.495482,1.495482,0.111348,0.506366,0.106376,13.430337,-10.639187,565090.0,49451.0,776220,SPX,30,-90,0.093179,4420,SPY,30,-90,0.100735
2005-01-31,80.39116668701172,1181.27001953125,12.82,4.14,80.39116668701172,1181.27001953125,12.82,4.14,0.074003,0.107886,0.102446,0.092559,0.098926,0.101863,0.102432,0.107431,0.105148,0.110337,0.112712,0.136088,0.200137,1182.796346,80.39116668701172,1181.27001953125,12.82,4.14,0.044409,0.099687,0.100545,0.086771,0.091672,0.097911,0.099539,0.103496,0.105994,0.110971,0.111491,0.134014,0.202754,118.301988,50250,SPX,C,2005-03-02,1181.922616,14.367015,14.367015,0.106519,0.505254,0.011039,134.866407,-91.017178,1303292,61475,310,SPY,C,2005-03-02,118.402445,1.468366,1.468366,0.108671,0.506133,0.108307,13.511788,-10.380721,588998.0,56915.0,776560,SPX,30,-90,0.142928,4760,SPY,30,-90,0.137073
2005-02-01,80.90142822265625,1189.4100341796875,12.03,4.15,80.90142822265625,1189.4100341796875,12.03,4.15,0.073834,0.10149,0.103764,0.094222,0.09969,0.101843,0.101569,0.107363,0.105409,0.110486,0.112818,0.136023,0.200097,1190.861499,80.90142822265625,1189.4100341796875,12.03,4.15,0.048278,0.089438,0.10135,0.088253,0.092348,0.09783,0.098549,0.103121,0.10621,0.111063,0.11159,0.13394,0.202662,119.063994,50272,SPX,C,2005-03-03,1189.90416,13.923218,13.923218,0.102537,0.504954,0.011388,135.777485,-87.353498,1329490,77186,332,SPY,C,2005-03-03,119.173574,1.417377,1.417377,0.104219,0.50596,0.11224,13.599768,-10.201423,604708.0,23136.0,776900,SPX,30,-90,0.135921,5100,SPY,30,-90,0.083499
2005-02-02,81.14634704589844,1193.18994140625,11.66,4.15,81.14634704589844,1193.18994140625,11.66,4.15,0.068429,0.089309,0.101165,0.093377,0.097555,0.101332,0.101367,0.107399,0.105447,0.110525,0.111834,0.135994,0.200103,1194.559201,81.14634704589844,1193.18994140625,11.66,4.15,0.044765,0.070713,0.101101,0.087455,0.089336,0.097333,0.098335,0.103167,0.106024,0.111081,0.110138,0.133947,0.202659,119.415725,50294,SPX,C,2005-03-04,1193.537814,13.648766,13.648766,0.10021,0.504756,0.011614,136.192054,-84.791781,1332819,66909,354,SPY,C,2005-03-04,119.534965,1.371854,1.371854,0.100568,0.505751,0.115966,13.641007,-9.93375,618787.0,67040.0,777240,SPX,30,-90,0.125613,5440,SPY,30,-90,0.079225
2005-02-03,80.93543243408203,1189.8900146484375,11.79,4.18,80.93543243408203,1189.8900146484375,11.79,4.18,0.066022,0.078783,0.092876,0.092488,0.09258,0.101395,0.101019,0.104714,0.105188,0.110228,0.111863,0.135609,0.200026,1191.171297,80.93543243408203,1189.8900146484375,11.79,4.18,0.047179,0.062746,0.090413,0.086639,0.085598,0.097478,0.097996,0.100334,0.105562,0.110793,0.110088,0.133756,0.202581,119.096958,50316,SPX,C,2005-03-05,1190.314306,13.833314,13.833314,0.101841,0.504878,0.011461,135.822672,-86.377611,1372899,41025,376,SPY,C,2005-03-05,119.225271,1.403394,1.403394,0.103148,0.505899,0.113359,13.605503,-10.12683,639773.0,25114.0,777580,SPX,30,-90,0.131669,5780,SPY,30,-90,0.078751
2005-02-04,81.79949951171875,1203.030029296875,11.21,4.09,81.79949951171875,1203.030029296875,11.21,4.09,0.080683,0.079879,0.099116,0.096307,0.094771,0.102949,0.101795,0.103074,0.104603,0.110741,0.112054,0.135735,0.200009,1204.238167,81.79949951171875,1203.030029296875,11.21,4.09,0.065493,0.063955,0.094462,0.090409,0.087259,0.09899,0.098725,0.098905,0.104329,0.111244,0.110098,0.133848,0.202557,120.352701,50338,SPX,C,2005-03-06,1203.349689,12.885854,12.885854,0.093838,0.504373,0.012301,137.311694,-79.995651,1374075,76128,398,SPY,C,2005-03-06,120.492157,1.298716,1.298716,0.094451,0.505375,0.122486,13.750185,-9.472423,652997.0,50954.0,777920,SPX,30,-90,0.125387,6120,SPY,30,-90,0.078606
