date,close_spy,close_gspc,vix,rate_10y
1996-01-04,36.77162551879883,617.7000122070312,13.78,5.65
1996-01-05,36.697166442871094,616.7100219726562,13.58,5.69
1996-01-06,36.697166442871094,616.7100219726562,13.58,5.69
1996-01-07,36.697166442871094,616.7100219726562,13.58,5.69
1996-01-08,36.83680725097656,618.4600219726562,13.11,5.68
1996-01-09,36.20377731323242,609.4500122070312,15.21,5.7
1996-01-10,35.729000091552734,598.47998046875,16.4,5.8
1996-01-11,35.94310760498047,602.6900024414062,14.69,5.78
1996-01-12,35.887245178222656,601.8099975585938,14.23,5.75
1996-01-13,35.887245178222656,601.8099975585938,14.23,5.75
1996-01-14,35.887245178222656,601.8099975585938,14.23,5.75
1996-01-15,35.81278610229492,599.8200073242188,14.99,5.75
1996-01-16,36.25032806396485,608.4400024414062,14.09,5.66
1996-01-17,36.13859939575195,606.3699951171875,14.25,5.58
1996-01-18,36.25963592529297,608.239990234375,13.58,5.53
1996-01-19,36.50167465209961,611.8300170898438,12.7,5.54
1996-01-20,36.50167465209961,611.8300170898438,12.7,5.54
1996-01-21,36.50167465209961,611.8300170898438,12.7,5.54
1996-01-22,36.5109748840332,613.4000244140625,13.34,5.61
1996-01-23,36.594764709472656,612.7899780273438,13.56,5.66
1996-01-24,36.89265441894531,619.9600219726562,12.54,5.62
1996-01-25,36.76231384277344,617.030029296875,12.94,5.7
1996-01-26,37.07884979248047,621.6199951171875,12.0,5.65
1996-01-27,37.07884979248047,621.6199951171875,12.0,5.65
1996-01-28,37.07884979248047,621.6199951171875,12.0,5.65
1996-01-29,37.227783203125,624.219970703125,12.19,5.69
1996-01-30,37.5443115234375,630.1500244140625,12.42,5.63
1996-01-31,37.935302734375,636.02001953125,12.53,5.6
1996-02-01,38.07492446899414,638.4600219726562,12.65,5.63
1996-02-02,37.91667938232422,635.8400268554688,13.23,5.66
1996-02-03,37.91667938232422,635.8400268554688,13.23,5.66
1996-02-04,37.91667938232422,635.8400268554688,13.23,5.66
1996-02-05,38.22389221191406,641.4299926757812,13.46,5.7
1996-02-06,38.58692932128906,646.3300170898438,14.59,5.68
1996-02-07,38.81036758422851,649.9299926757812,14.11,5.66
1996-02-08,39.22930145263672,656.0700073242188,13.89,5.66
1996-02-09,39.219970703125,656.3699951171875,14.63,5.66
1996-02-10,39.219970703125,656.3699951171875,14.63,5.66
1996-02-11,39.219970703125,656.3699951171875,14.63,5.66
1996-02-12,39.51786422729492,661.4500122070312,14.69,5.61
1996-02-13,39.4340934753418,660.510009765625,14.94,5.58
1996-02-14,39.08963394165039,655.5800170898438,15.59,5.62
1996-02-15,38.847599029541016,651.3200073242188,16.13,5.7
1996-02-16,38.6893424987793,647.97998046875,15.37,5.76
1996-02-17,38.6893424987793,647.97998046875,15.37,5.76
1996-02-18,38.6893424987793,647.97998046875,15.37,5.76
1996-02-19,38.6893424987793,647.97998046875,15.37,5.76
1996-02-20,38.307674407958984,640.6500244140625,16.8,6.01
1996-02-21,38.782440185546875,648.0999755859375,14.47,5.98
1996-02-22,39.39686584472656,658.8599853515625,14.56,5.92
1996-02-23,39.285125732421875,659.0800170898438,14.78,5.97
1996-02-24,39.285125732421875,659.0800170898438,14.78,5.97
1996-02-25,39.285125732421875,659.0800170898438,14.78,5.97
1996-02-26,38.72657012939453,650.4600219726562,16.38,6.01
1996-02-27,38.60555648803711,647.239990234375,16.63,6.06
1996-02-28,38.42869186401367,644.75,16.72,6.11
1996-02-29,38.05629348754883,640.4299926757812,17.04,6.13
1996-03-01,38.66140365600586,644.3699951171875,16.72,5.99
1996-03-02,38.66140365600586,644.3699951171875,16.72,5.99
1996-03-03,38.66140365600586,644.3699951171875,16.72,5.99
1996-03-04,38.88483428955078,650.8099975585938,16.67,5.92
1996-03-05,39.24789047241211,655.7899780273438,16.1,5.96
1996-03-06,38.90345764160156,652.0,16.56,6.05
1996-03-07,39.09895324707031,653.6500244140625,16.49,6.07
1996-03-08,37.83286666870117,633.5,20.7,6.41
1996-03-09,37.83286666870117,633.5,20.7,6.41
1996-03-10,37.83286666870117,633.5,20.7,6.41
1996-03-11,38.27042770385742,640.02001953125,19.4,6.33
1996-03-12,37.9725227355957,637.0900268554688,19.09,6.36
1996-03-13,38.233192443847656,638.5499877929688,18.13,6.35
1996-03-14,38.4007682800293,640.8699951171875,16.93,6.36
1996-03-15,38.37495422363281,641.4299926757812,16.54,6.46
1996-03-16,38.37495422363281,641.4299926757812,16.54,6.46
1996-03-17,38.37495422363281,641.4299926757812,16.54,6.46
1996-03-18,39.113651275634766,652.6500244140625,17.31,6.43
1996-03-19,39.029483795166016,651.6900024414062,18.35,6.41
1996-03-20,38.98274230957031,649.97998046875,18.66,6.34
1996-03-21,38.88922119140625,649.1900024414062,17.74,6.28
1996-03-22,38.99209213256836,650.6199951171875,17.05,6.32
1996-03-23,38.99209213256836,650.6199951171875,17.05,6.32
1996-03-24,38.99209213256836,650.6199951171875,17.05,6.32
1996-03-25,38.91728210449219,650.0399780273438,17.84,6.26
1996-03-26,39.10431289672851,652.969970703125,17.8,6.25
1996-03-27,38.74897003173828,648.9099731445312,17.89,6.34
1996-03-28,38.89858627319336,648.9400024414062,18.16,6.41
1996-03-29,38.71158218383789,645.5,18.88,6.34
1996-03-30,38.71158218383789,645.5,18.88,6.34
1996-03-31,38.71158218383789,645.5,18.88,6.34
1996-04-01,39.16041946411133,653.72998046875,17.9,6.31
1996-04-02,39.235198974609375,655.260009765625,16.45,6.25
1996-04-03,39.235198974609375,655.8800048828125,16.33,6.27
1996-04-04,39.20713806152344,655.8599853515625,16.18,6.33
1996-04-05,39.20713806152344,655.8599853515625,16.18,6.57
1996-04-06,39.20713806152344,655.8599853515625,16.18,6.57
1996-04-07,39.20713806152344,655.8599853515625,16.18,6.57
1996-04-08,38.533905029296875,644.239990234375,18.72,6.63
1996-04-09,38.384300231933594,642.1900024414062,17.32,6.56
1996-04-10,37.70168685913086,633.5,20.22,6.63
1996-04-11,37.65496826171875,631.1799926757812,19.65,6.68
1996-04-12,38.1318244934082,636.7100219726562,17.38,6.52
1996-04-13,38.1318244934082,636.7100219726562,17.38,6.52
1996-04-14,38.1318244934082,636.7100219726562,17.38,6.52
1996-04-15,38.44974899291992,642.489990234375,16.83,6.47
1996-04-16,38.56196594238281,645.0,16.45,6.48
1996-04-17,38.46847152709961,641.6099853515625,17.07,6.52
1996-04-18,38.52454376220703,643.6099853515625,16.41,6.58
1996-04-19,38.618064880371094,645.0700073242188,15.12,6.53
1996-04-20,38.618064880371094,645.0700073242188,15.12,6.53
1996-04-21,38.618064880371094,645.0700073242188,15.12,6.53
1996-04-22,38.91728210449219,647.8900146484375,15.38,6.48
1996-04-23,39.038848876953125,651.5800170898438,15.01,6.52
1996-04-24,38.89858627319336,650.1699829101562,14.91,6.57
1996-04-25,39.07624816894531,652.8699951171875,14.72,6.56
1996-04-26,39.16041946411133,653.4600219726562,14.75,6.54
1996-04-27,39.16041946411133,653.4600219726562,14.75,6.54
1996-04-28,39.16041946411133,653.4600219726562,14.75,6.54
1996-04-29,39.16041946411133,654.1599731445312,15.45,6.59
1996-04-30,39.132347106933594,654.1699829101562,15.83,6.66
1996-05-01,39.21651077270508,654.5800170898438,16.07,6.68
1996-05-02,38.54328155517578,643.3800048828125,18.62,6.85
1996-05-03,38.487152099609375,641.6300048828125,16.7,6.9
1996-05-04,38.487152099609375,641.6300048828125,16.7,6.9
1996-05-05,38.487152099609375,641.6300048828125,16.7,6.9
1996-05-06,38.44974899291992,640.8099975585938,16.92,6.86
1996-05-07,38.290794372558594,638.260009765625,16.87,6.87
1996-05-08,38.76767349243164,644.77001953125,15.78,6.78
1996-05-09,38.7396354675293,645.4400024414062,16.99,6.84
1996-05-10,39.12302780151367,652.0900268554688,15.61,6.75
1996-05-11,39.12302780151367,652.0900268554688,15.61,6.75
1996-05-12,39.12302780151367,652.0900268554688,15.61,6.75
1996-05-13,39.71209335327149,661.510009765625,15.16,6.72
1996-05-14,39.9552001953125,665.5999755859375,14.9,6.66
1996-05-15,39.90843963623047,665.4199829101562,15.59,6.65
1996-05-16,39.99259567260742,664.8499755859375,15.71,6.7
1996-05-17,40.20767593383789,668.9099731445312,15.13,6.65
1996-05-18,40.20767593383789,668.9099731445312,15.13,6.65
1996-05-19,40.20767593383789,668.9099731445312,15.13,6.65
1996-05-20,40.47882843017578,673.1500244140625,15.8,6.62
1996-05-21,40.42274856567383,672.760009765625,16.0,6.65
1996-05-22,40.80613327026367,678.4199829101562,15.5,6.63
1996-05-23,40.63780975341797,676.0,16.17,6.68
1996-05-24,40.796775817871094,678.510009765625,15.54,6.65
1996-05-25,40.796775817871094,678.510009765625,15.54,6.65
1996-05-26,40.796775817871094,678.510009765625,15.54,6.65
1996-05-27,40.796775817871094,678.510009765625,15.54,6.65
1996-05-28,40.38533401489258,672.22998046875,16.92,6.67
1996-05-29,40.114166259765625,667.9299926757812,17.15,6.77
